player_id,season_label,goals,assists,shots_on_target,minutes_played,market_value,market_value_next_season,age_in_days
639,2018-2019,0,1,1,465,200000,100000.0,11115
639,2020-2021,0,1,0,1067,100000,,11845
648,2017-2018,3,2,8,963,2000000,10000000.0,9495
648,2018-2019,13,0,27,1887,10000000,8000000.0,9860
648,2019-2020,11,1,20,2267,8000000,10000000.0,10225
648,2020-2021,12,4,19,2198,10000000,5000000.0,10590
648,2021-2022,7,3,16,2115,5000000,,10956
664,2017-2018,7,4,22,2786,500000,2000000.0,12673
664,2018-2019,14,5,20,2648,2000000,1600000.0,13038
664,2019-2020,5,3,7,1886,1600000,1500000.0,13403
664,2020-2021,8,2,12,1615,1500000,1500000.0,13768
664,2021-2022,10,5,22,1966,1500000,,14134
666,2017-2018,0,1,1,673,100000,,12589
684,2020-2021,2,3,6,1549,1200000,1000000.0,10605
684,2021-2022,0,1,3,777,1000000,,10971
687,2017-2018,0,0,0,142,1200000,1200000.0,10172
687,2017-2018,0,0,2,374,1200000,1500000.0,10172
687,2018-2019,1,2,6,795,1500000,,10537
693,2019-2020,0,0,4,279,650000,1500000.0,9521
693,2021-2022,3,0,7,641,1500000,,10252
707,2018-2019,1,0,4,305,2000000,,9841
709,2017-2018,0,0,1,556,1500000,,8575
712,2017-2018,6,5,27,2395,20000000,40000000.0,9001
712,2018-2019,13,13,31,2724,40000000,,9366
721,2017-2018,4,3,17,1693,6000000,10000000.0,9275
721,2018-2019,4,6,16,1573,10000000,4800000.0,9640
721,2019-2020,2,0,6,787,4800000,7500000.0,10005
721,2020-2021,5,3,14,1283,7500000,5000000.0,10370
721,2021-2022,2,2,9,819,5000000,,10736
731,2019-2020,3,1,5,1218,2400000,800000.0,8877
731,2021-2022,0,0,0,7,800000,,9608
734,2017-2018,1,0,4,382,8500000,,10168
738,2017-2018,2,2,14,1981,2000000,2000000.0,11085
738,2018-2019,4,0,8,966,2000000,,11450
756,2017-2018,22,5,40,2936,25000000,25000000.0,10746
756,2018-2019,20,6,26,2251,25000000,16000000.0,11111
756,2019-2020,14,3,31,3262,16000000,9000000.0,11476
756,2020-2021,14,13,22,2864,9000000,7000000.0,11841
756,2021-2022,18,5,37,3087,7000000,,12207
758,2017-2018,8,3,26,2677,6000000,4500000.0,8894
758,2018-2019,2,2,15,1233,4500000,,9259
769,2019-2020,0,1,2,406,1200000,,8732
770,2017-2018,0,0,2,226,1500000,,10514
772,2017-2018,2,1,4,214,3000000,,8955
791,2017-2018,0,0,0,115,800000,,10640
792,2019-2020,8,2,19,2188,6000000,10000000.0,9302
792,2020-2021,3,5,7,2718,10000000,8000000.0,9667
792,2021-2022,1,6,9,2375,8000000,,10033
798,2018-2019,0,1,0,236,200000,,13076
817,2018-2019,1,2,6,556,1000000,,9486
823,2019-2020,7,5,27,2129,3200000,10000000.0,9459
823,2020-2021,4,5,20,2026,10000000,6000000.0,9824
823,2021-2022,4,2,17,1376,6000000,,10190
835,2017-2018,12,2,18,1554,20000000,30000000.0,7696
835,2018-2019,7,5,21,1852,30000000,14500000.0,8061
835,2019-2020,6,3,14,1944,14500000,15000000.0,8426
835,2020-2021,12,3,22,2412,15000000,0.0,8791
835,2021-2022,7,3,21,2367,0,,9157
849,2017-2018,3,2,5,1180,2000000,2500000.0,11297
849,2018-2019,3,5,25,2733,2500000,1600000.0,11662
849,2019-2020,8,7,16,2390,1600000,1500000.0,12027
849,2020-2021,6,2,12,2138,1500000,,12392
868,2017-2018,1,0,1,151,1500000,4000000.0,9416
868,2018-2019,4,5,12,1800,4000000,3200000.0,9781
868,2019-2020,5,3,14,1875,3200000,2800000.0,10146
868,2020-2021,0,1,8,1404,2800000,2500000.0,10511
868,2021-2022,1,3,5,743,2500000,,10877
869,2017-2018,13,2,30,2293,4000000,3000000.0,10843
869,2018-2019,8,3,25,1819,3000000,6000000.0,11208
869,2019-2020,10,3,23,1407,6000000,3000000.0,11573
869,2020-2021,5,0,12,1374,3000000,2000000.0,11938
869,2021-2022,3,2,11,1544,2000000,,12304
908,2017-2018,2,4,17,1623,3000000,,10869
918,2017-2018,15,6,34,2497,10000000,5000000.0,11073
918,2018-2019,6,1,14,1270,5000000,2400000.0,11438
918,2019-2020,2,1,6,688,2400000,1800000.0,11803
918,2020-2021,5,0,12,786,1800000,1000000.0,12168
918,2021-2022,0,1,2,513,1000000,,12534
919,2017-2018,16,2,31,1799,90000000,60000000.0,10031
919,2018-2019,8,3,31,1786,60000000,32000000.0,10396
919,2019-2020,2,2,13,1089,32000000,3000000.0,10761
919,2021-2022,1,0,6,280,3000000,,11492
929,2017-2018,2,1,9,1324,2000000,,8747
933,2017-2018,8,1,16,1582,1500000,2000000.0,11960
933,2018-2019,14,1,24,1739,2000000,1200000.0,12325
933,2019-2020,6,0,9,1301,1200000,,12690
935,2017-2018,2,1,9,926,3000000,6000000.0,9503
935,2018-2019,2,2,7,1706,6000000,4800000.0,9868
935,2019-2020,1,2,7,926,4800000,3500000.0,10233
935,2020-2021,0,3,5,1101,3500000,2500000.0,10598
935,2021-2022,0,1,4,563,2500000,,10964
948,2018-2019,5,6,15,2282,4000000,5500000.0,9370
948,2019-2020,2,4,14,1371,5500000,4000000.0,9735
948,2021-2022,0,2,16,1986,4000000,,10466
952,2017-2018,1,0,2,137,1000000,3200000.0,7529
952,2019-2020,10,3,18,2201,3200000,9000000.0,8259
952,2020-2021,0,0,1,143,9000000,9000000.0,8624
952,2020-2021,1,2,4,390,9000000,,8624
954,2021-2022,5,6,7,2261,2000000,,11389
959,2017-2018,7,2,11,1125,20000000,9000000.0,10830
959,2018-2019,6,1,14,1612,9000000,6500000.0,11195
959,2019-2020,6,2,10,1581,6500000,3000000.0,11560
959,2020-2021,4,1,7,1077,3000000,,11925
960,2018-2019,4,2,11,1766,5000000,6000000.0,11488
960,2021-2022,7,4,24,2998,6000000,,12584
963,2017-2018,0,1,0,177,1000000,1000000.0,9669
963,2017-2018,0,0,0,191,1000000,,9669
975,2018-2019,0,1,1,180,700000,700000.0,9065
975,2018-2019,0,0,1,160,700000,650000.0,9065
975,2019-2020,1,0,9,1017,650000,1500000.0,9430
975,2020-2021,0,5,7,1204,1500000,,9795
981,2017-2018,1,2,10,1786,1200000,5000000.0,8215
981,2018-2019,2,5,8,2330,5000000,4800000.0,8580
