player_id,season_label,tackles_won,blocks,interceptions,aerials_won,pass_completed,minutes_played,market_value,market_value_next_season,age_in_days
410,2017-2018,22,40,30,64,1669,2632,50000000,35000000,10926
410,2018-2019,27,41,36,116,2196,3150,35000000,20000000,11291
410,2019-2020,23,39,36,127,2470,3092,20000000,10000000,11656
410,2020-2021,11,9,26,61,1170,1481,10000000,5000000,12021
410,2021-2022,12,19,34,80,1514,2092,5000000,,12387
419,2018-2019,42,39,50,69,788,2785,3000000,2000000,9765
419,2020-2021,24,32,52,61,1358,2885,2000000,,10495
424,2017-2018,14,12,25,53,578,1302,500000,1000000,11756
424,2018-2019,13,10,18,62,644,1677,1000000,650000,12121
424,2019-2020,2,2,4,21,174,457,650000,,12486
426,2017-2018,29,22,47,84,1717,2289,45000000,25000000,11235
426,2018-2019,32,29,37,59,1777,2474,25000000,14500000,11600
426,2019-2020,31,22,49,67,1963,3013,14500000,10000000,11965
426,2020-2021,12,9,19,30,1019,1275,10000000,,12330
437,2017-2018,40,18,39,14,1634,2225,55000000,50000000,9095
437,2018-2019,20,18,43,28,1599,2088,50000000,40000000,9460
437,2019-2020,22,12,33,28,1955,2339,40000000,18000000,9825
437,2020-2021,6,12,10,10,795,946,18000000,6000000,10190
437,2021-2022,1,2,4,2,230,400,6000000,,10556
456,2017-2018,22,27,58,59,1218,2416,12000000,7000000,10203
456,2018-2019,19,28,38,47,1039,1975,7000000,2200000,10568
456,2020-2021,7,17,44,65,1121,2157,2200000,1500000,11298
456,2021-2022,9,18,29,46,778,1424,1500000,,11664
462,2017-2018,3,1,3,2,28,101,1000000,,11231
490,2018-2019,23,10,14,28,461,1026,2000000,300000,11269
490,2021-2022,4,6,7,29,257,712,300000,,12365
507,2017-2018,13,9,13,5,248,673,800000,,11296
536,2017-2018,26,14,14,13,318,731,1000000,4000000,10068
536,2018-2019,31,41,53,48,1009,2354,4000000,3200000,10433
536,2019-2020,42,31,40,57,898,2492,3200000,600000,10798
536,2021-2022,5,2,3,3,70,203,600000,,11529
550,2017-2018,2,5,6,2,99,270,2000000,,10107
558,2017-2018,42,22,24,44,1293,2373,2500000,2000000,10796
558,2018-2019,8,15,5,10,527,934,2000000,1600000,11161
558,2019-2020,5,2,8,7,377,641,1600000,600000,11526
558,2021-2022,14,5,17,8,423,1020,600000,,12257
564,2017-2018,9,18,16,11,522,894,1500000,3000000,9728
564,2018-2019,3,6,8,15,245,585,3000000,1600000,10093
564,2019-2020,9,16,36,65,482,1777,1600000,1200000,10458
564,2020-2021,9,12,23,50,474,1529,1200000,1000000,10823
564,2021-2022,10,21,18,35,806,1551,1000000,,11189
569,2017-2018,21,22,43,56,1134,1891,2500000,1500000,11402
569,2018-2019,26,31,33,70,793,1897,1500000,,11767
580,2018-2019,0,0,2,2,47,90,200000,,12959
584,2017-2018,23,17,34,23,543,1383,2000000,2000000,10843
584,2018-2019,27,18,40,24,696,1817,2000000,1200000,11208
584,2019-2020,18,9,13,17,462,989,1200000,800000,11573
584,2020-2021,10,13,14,15,363,835,800000,600000,11938
584,2021-2022,2,1,2,4,57,118,600000,,12304
585,2019-2020,6,6,16,29,369,929,475000,900000,9599
585,2020-2021,9,9,20,46,436,1136,900000,,9964
586,2017-2018,43,30,46,33,1262,2536,9000000,4000000,10516
586,2018-2019,21,12,21,25,768,1495,4000000,3200000,10881
586,2019-2020,23,11,24,16,671,1389,3200000,2000000,11246
586,2020-2021,6,7,6,3,202,351,2000000,1200000,11611
586,2021-2022,26,22,23,25,724,1828,1200000,,11977
605,2017-2018,4,5,13,12,161,360,1500000,1500000,10071
605,2017-2018,36,20,43,39,770,1619,1500000,1500000,10071
605,2018-2019,28,7,45,35,562,1412,1500000,,10436
606,2017-2018,18,31,30,12,1162,2798,3500000,7000000,9856
606,2018-2019,27,23,38,20,1085,2629,7000000,1500000,10221
606,2020-2021,7,12,10,9,480,1117,1500000,,10951
635,2020-2021,32,38,51,96,1130,3015,4500000,2000000,10453
635,2021-2022,24,30,31,71,908,2699,2000000,,10819
650,2019-2020,0,0,0,0,6,15,725000,,10369
651,2017-2018,20,17,30,40,595,1440,32000000,32000000,9361
651,2017-2018,9,9,23,29,611,1055,32000000,32000000,9361
651,2018-2019,26,24,69,91,1138,2902,32000000,25500000,9726
651,2019-2020,30,28,39,112,1200,2970,25500000,20000000,10091
651,2020-2021,15,17,28,69,1208,2519,20000000,25000000,10456
651,2021-2022,13,22,39,69,952,2341,25000000,,10822
667,2019-2020,16,15,25,12,825,1471,6000000,2500000,9676
667,2020-2021,4,2,3,0,85,193,2500000,0,10041
667,2021-2022,7,13,27,7,493,1223,0,,10407
668,2017-2018,3,3,10,24,441,720,4000000,6000000,10577
668,2018-2019,9,34,31,37,1037,1933,6000000,,10942
669,2017-2018,18,12,33,24,506,1127,2500000,3000000,9046
669,2018-2019,34,18,37,29,687,1406,3000000,,9411
675,2018-2019,24,7,20,23,471,1708,3000000,3200000,10828
675,2019-2020,25,24,14,36,572,2422,3200000,2000000,11193
675,2020-2021,23,16,22,51,577,2323,2000000,1000000,11558
675,2021-2022,1,2,2,4,61,244,1000000,,11924
696,2017-2018,16,25,35,38,668,2298,4000000,3000000,8606
696,2018-2019,6,24,16,25,651,1619,3000000,1000000,8971
696,2020-2021,4,3,2,6,99,304,1000000,800000,9701
696,2021-2022,2,4,3,7,97,243,800000,,10067
719,2017-2018,64,34,46,21,1175,2877,2500000,3500000,10476
719,2018-2019,62,47,46,31,1317,3240,3500000,3200000,10841
719,2019-2020,32,25,27,35,997,2592,3200000,1500000,11206
719,2020-2021,39,43,31,0,863,2434,1500000,1500000,11571
719,2021-2022,47,46,31,25,997,2711,1500000,,11937
723,2017-2018,5,12,12,5,215,610,800000,500000,11497
723,2018-2019,9,22,17,20,485,1098,500000,,11862
733,2017-2018,19,27,33,49,1211,2322,70000000,70000000,8652
733,2018-2019,18,21,32,89,1527,2754,70000000,64000000,9017
733,2019-2020,17,32,31,80,1466,2822,64000000,70000000,9382
733,2020-2021,14,26,36,0,1591,2715,70000000,,9747
752,2017-2018,44,31,58,18,862,2799,3500000,2500000,10868
752,2018-2019,26,33,43,21,701,2181,2500000,1600000,11233
752,2019-2020,0,0,0,0,0,6,1600000,,11598
755,2017-2018,30,21,78,44,1235,2414,2000000,2000000,10824
755,2018-2019,24,12,46,59,863,1950,2000000,1600000,11189
755,2019-2020,20,20,29,56,872,2007,1600000,1000000,11554
755,2020-2021,26,36,69,68,1459,2807,1000000,,11919
775,2017-2018,78,48,93,35,1744,3202,12000000,,8340
782,2017-2018,49,35,66,56,1303,2332,7500000,7500000,9983
782,2018-2019,29,22,24,22,753,1545,7500000,4800000,10348
782,2019-2020,16,11,13,25,461,773,4800000,2500000,10713
782,2020-2021,8,5,9,8,340,565,2500000,1800000,11078
782,2021-2022,24,18,26,33,521,1434,1800000,,11444
793,2019-2020,6,13,8,22,152,536,800000,1500000,9829
793,2020-2021,9,16,14,22,329,1242,1500000,1500000,10194
793,2021-2022,12,19,22,34,411,1408,1500000,,10560
800,2017-2018,1,0,0,0,2,16,300000,,9355
805,2018-2019,10,2,12,25,192,776,1500000,1200000,8880
805,2020-2021,18,14,24,40,637,1587,1200000,,9610
812,2017-2018,23,19,27,47,822,1710,50000000,,8255
816,2017-2018,22,41,43,63,1360,2326,17500000,25000000,8539
816,2018-2019,15,27,26,57,935,1752,25000000,20000000,8904
816,2019-2020,14,14,28,70,1427,2327,20000000,20000000,9269
816,2020-2021,0,1,2,3,48,90,20000000,,9634
825,2017-2018,55,30,68,63,1608,2999,12000000,15000000,9325
825,2018-2019,41,44,50,60,1426,3092,15000000,7000000,9690
825,2019-2020,42,24,22,40,993,1965,7000000,5000000,10055
825,2020-2021,40,42,37,64,1315,2602,5000000,4000000,10420
825,2021-2022,25,23,20,41,934,1826,4000000,,10786
843,2017-2018,43,27,66,29,1130,2608,2000000,3000000,9840
843,2018-2019,35,25,47,45,763,2533,3000000,2000000,10205
843,2019-2020,19,20,52,34,632,1903,2000000,1800000,10570
843,2020-2021,30,14,47,19,802,2375,1800000,1200000,10935
843,2021-2022,19,11,22,9,414,1347,1200000,,11301
855,2017-2018,28,24,30,14,664,1732,2000000,10000000,9299
855,2018-2019,46,37,35,21,1308,2674,10000000,6500000,9664
855,2019-2020,24,25,35,20,1015,1909,6500000,4000000,10029
855,2020-2021,14,20,13,16,443,1116,4000000,2500000,10394
855,2021-2022,0,1,5,3,38,132,2500000,,10760
877,2017-2018,22,11,16,9,489,1272,1000000,,12029
928,2017-2018,7,6,10,12,214,460,1000000,3000000,10377
928,2018-2019,18,19,31,58,802,2130,3000000,2000000,10742
928,2019-2020,2,4,8,14,508,847,2000000,,11107
930,2017-2018,40,33,38,19,1595,2222,60000000,50000000,9122
930,2018-2019,24,31,26,20,1575,2107,50000000,40000000,9487
930,2019-2020,46,43,36,27,2024,2738,40000000,30000000,9852
930,2020-2021,20,19,13,14,673,950,30000000,18000000,10217
930,2021-2022,28,22,20,14,1020,1551,18000000,,10583
937,2019-2020,16,22,22,30,692,1848,2000000,3000000,9811
937,2020-2021,29,26,37,41,1304,2781,3000000,2000000,10176
937,2021-2022,17,8,26,13,668,1514,2000000,,10542
940,2018-2019,13,12,18,28,603,1173,3000000,1600000,8317
940,2019-2020,3,3,8,6,178,338,1600000,,8682
945,2018-2019,6,2,3,3,63,270,300000,,8659
949,2017-2018,2,3,7,6,136,376,2000000,2000000,10655
949,2018-2019,23,38,39,78,666,2677,2000000,1400000,11020
949,2019-2020,11,9,17,49,237,1446,1400000,800000,11385
949,2020-2021,4,6,13,20,198,883,800000,,11750
957,2018-2019,12,23,20,24,276,1799,3500000,2000000,9050
957,2019-2020,11,8,16,15,281,1119,2000000,3500000,9415
957,2020-2021,21,24,26,20,817,2663,3500000,4000000,9780
957,2021-2022,0,2,1,1,46,180,4000000,4000000,10146
957,2021-2022,17,19,29,20,702,2342,4000000,,10146
991,2017-2018,8,6,29,44,363,994,1200000,,10803
996,2017-2018,60,43,56,24,1325,2916,35000000,50000000,7892
996,2018-2019,59,48,43,34,1437,3137,50000000,40000000,8257
996,2019-2020,30,22,18,19,794,1988,40000000,35000000,8622
996,2020-2021,33,22,38,27,1172,2846,35000000,40000000,8987
996,2021-2022,21,17,19,8,650,1871,40000000,,9353
999,2017-2018,27,28,30,57,595,1690,45000000,70000000,8017
999,2018-2019,15,27,44,55,585,1772,70000000,56000000,8382
999,2019-2020,16,14,23,53,784,1755,56000000,60000000,8747
999,2020-2021,7,17,21,45,974,1765,60000000,50000000,9112
999,2021-2022,12,25,25,41,820,2042,50000000,,9478
1007,2021-2022,8,28,22,56,710,2667,1800000,,11182
1009,2017-2018,27,24,32,26,855,2135,4000000,3000000,8899
1009,2018-2019,1,0,0,0,6,20,3000000,5000000,9264
1009,2021-2022,25,22,25,28,1400,2855,5000000,,10360
1010,2017-2018,24,18,29,45,671,1374,15000000,10000000,8985
1010,2018-2019,2,0,0,4,116,113,10000000,10000000,9350
1010,2018-2019,1,1,2,3,16,90,10000000,6500000,9350
1010,2019-2020,20,13,20,57,623,1529,6500000,7000000,9715
1010,2020-2021,21,29,36,86,1438,2699,7000000,3500000,10080
1010,2021-2022,10,11,17,31,621,1117,3500000,,10446
1019,2017-2018,8,8,13,14,197,405,800000,,12036
1022,2017-2018,27,30,51,59,1197,2584,20000000,20000000,9533
1022,2018-2019,16,37,70,60,1127,2623,20000000,17500000,9898
1022,2019-2020,14,36,48,80,1547,2801,17500000,15000000,10263
1022,2020-2021,11,32,59,69,1332,2716,15000000,7000000,10628
1022,2021-2022,12,18,39,38,495,1592,7000000,,10994
1042,2017-2018,27,17,24,22,524,1428,800000,,9015
1049,2017-2018,28,26,31,38,642,1778,4000000,10000000,9993
1049,2018-2019,29,21,41,32,1130,1742,10000000,8000000,10358
1049,2019-2020,19,15,21,31,772,1175,8000000,2500000,10723
1049,2020-2021,3,6,16,0,472,697,2500000,,11088
