player_id,season_label,pass_completed,tackles_won,interceptions,assists,goals,minutes_played,market_value,market_value_next_season,age_in_days
406,2017-2018,795,49,43,0,1,2387,1800000,2500000,10672
406,2018-2019,876,41,41,0,2,2340,2500000,2000000,11037
406,2019-2020,423,22,16,0,1,1344,2000000,1200000,11402
406,2020-2021,752,18,37,1,1,2575,1200000,800000,11767
406,2021-2022,455,16,22,0,0,1444,800000,,12133
417,2017-2018,869,14,7,5,3,1929,3000000,,12179
423,2017-2018,2282,31,44,5,1,2835,50000000,40000000,10524
423,2018-2019,2344,24,51,5,3,2643,40000000,20000000,10889
423,2019-2020,1323,14,15,3,1,1589,20000000,10000000,11254
423,2020-2021,1480,18,26,2,4,2233,10000000,7000000,11619
423,2021-2022,1380,22,23,6,4,2182,7000000,,11985
428,2017-2018,812,42,30,2,1,1837,2000000,3000000,9487
428,2018-2019,552,21,14,0,0,1285,3000000,2400000,9852
428,2019-2020,736,19,22,0,0,1570,2400000,1200000,10217
428,2020-2021,354,5,4,0,1,734,1200000,,10582
441,2017-2018,2227,71,52,3,1,3227,25000000,80000000,11258
441,2018-2019,1756,70,41,1,3,2735,80000000,,11623
459,2017-2018,800,37,41,1,1,2155,9000000,7500000,10078
459,2018-2019,540,25,21,0,0,1733,7500000,4800000,10443
459,2019-2020,94,4,9,0,0,359,4800000,,10808
463,2017-2018,1007,72,79,2,0,2457,3500000,3000000,10708
463,2018-2019,440,30,25,2,0,1265,3000000,2400000,11073
463,2019-2020,731,36,27,1,0,1688,2400000,,11438
466,2019-2020,701,34,35,1,2,2320,950000,700000,11909
466,2020-2021,569,16,29,2,0,2084,700000,500000,12274
466,2021-2022,228,6,1,0,1,758,500000,,12640
484,2019-2020,257,0,1,0,0,263,475000,,12621
499,2017-2018,379,10,20,0,2,925,2000000,1500000,9938
499,2018-2019,74,2,3,0,0,163,1500000,1600000,10303
499,2019-2020,252,6,18,0,3,943,1600000,1500000,10668
499,2020-2021,393,9,19,0,0,1395,1500000,1000000,11033
499,2021-2022,143,1,1,0,0,341,1000000,,11399
538,2017-2018,330,30,35,1,0,1098,1200000,2500000,9657
538,2018-2019,503,30,16,1,1,1669,2500000,2000000,10022
538,2019-2020,347,31,17,0,0,1283,2000000,,10387
543,2017-2018,987,36,41,2,0,2242,3000000,2500000,11124
543,2018-2019,490,16,24,0,2,1222,2500000,1600000,11489
543,2019-2020,58,3,4,0,0,157,1600000,,11854
573,2017-2018,1352,36,45,4,1,2734,5000000,15000000,8616
573,2018-2019,1617,45,48,9,4,3210,15000000,12000000,8981
573,2019-2020,1643,25,44,7,2,3156,12000000,15000000,9346
573,2020-2021,398,6,13,2,1,748,15000000,6000000,9711
573,2021-2022,715,16,21,2,2,1422,6000000,,10077
598,2017-2018,642,20,28,2,0,1120,4000000,4000000,10909
598,2018-2019,1026,24,24,2,1,2031,4000000,2400000,11274
598,2019-2020,162,1,4,0,0,394,2400000,,11639
604,2017-2018,492,25,19,0,0,1341,1000000,1000000,12051
604,2017-2018,261,13,3,0,0,537,1000000,800000,12051
604,2018-2019,106,3,3,0,0,233,800000,,12416
681,2017-2018,62,4,2,0,0,175,800000,,9493
682,2017-2018,107,0,5,1,0,221,1500000,4000000,8837
682,2018-2019,701,7,21,2,1,1368,4000000,,9202
699,2017-2018,441,13,23,0,0,1171,1500000,800000,11746
699,2018-2019,76,2,2,0,0,242,800000,300000,12111
699,2020-2021,698,12,23,4,1,2183,300000,,12841
714,2019-2020,1428,21,29,3,5,2568,200000,300000,12707
714,2021-2022,813,12,14,3,5,1507,300000,,13438
724,2019-2020,720,16,31,8,7,2717,4000000,5000000,10892
724,2020-2021,519,8,16,1,7,1894,5000000,3000000,11257
724,2021-2022,268,4,8,2,2,809,3000000,,11623
728,2018-2019,672,41,18,4,1,1764,2000000,3000000,10842
728,2021-2022,795,24,13,9,3,2007,3000000,,11938
774,2017-2018,1545,78,63,3,5,2595,60000000,60000000,9079
774,2018-2019,1431,52,41,0,3,2312,60000000,64000000,9444
774,2019-2020,1817,60,68,3,4,3088,64000000,70000000,9809
774,2020-2021,1630,49,70,4,6,2901,70000000,40000000,10174
774,2021-2022,1695,51,38,3,1,2569,40000000,,10540
